name,price,stock,brand,link,labels
Kyllingenuggets,5975,23,Daily Chef,https://live.nemligstatic.com/scommerce/images/kyllingenuggets.jpg?i=ifHx3Zi0/5039408&w=623&h=623&mode=pad,Discount;Frost;Fjerkræ;Paneret
Fiskefilet (panerede),3995,45,Royal Greenland,https://live.nemligstatic.com/scommerce/images/fiskefilet-panerede.jpg?i=mvrU3Qc3/5018634&w=623&h=623&mode=pad,Fisk;Frost
Rejer,1872,27,Ice Cap,https://live.nemligstatic.com/scommerce/images/rejer.jpg?i=KeCS6qX6/923129&w=623&h=623&mode=pad,Discount;Frost;MSC-mærket;Nøglehulsmærket;Fisk
Fiskepinde,2195,64,Nordic Seafood,https://live.nemligstatic.com/scommerce/images/fiskepinde.jpg?i=TmlIsfDS/5040556&w=623&h=623&mode=pad,Discount;Frost;MSC-mærket;Fisk
Vaniljeis øko.,5195,57,Hansens Flødeis,https://live.nemligstatic.com/scommerce/images/vaniljeis-oeko.jpg?i=c-fdCRyo/5027277&w=623&h=623&mode=pad,Frost;Øko;Is
Jordbær,1438,63,First Price,https://live.nemligstatic.com/scommerce/images/jordbaer.jpg?i=Qj-x-2an/5012116&w=623&h=623&mode=pad,Discount;Frost;Frugt
Vaniljesukker,1209,30,Dr. Oetker,https://live.nemligstatic.com/scommerce/images/vaniljesukker.jpg?i=zAmxQliE/5019909&w=623&h=623&mode=pad,Vanilje
Fuldkornshvedemel,1250,66,Valsemøllen,https://live.nemligstatic.com/scommerce/images/fuldkornshvedemel.jpg?i=mvIPOsZt/5021940&w=623&h=623&mode=pad,Danmark;Fuldkornsmærket;Nøglehulsmærket;Mel
Havregryn (grovvalsede) øko.,1295,57,Funkisfood,https://live.nemligstatic.com/scommerce/images/havregryn-grovvalsede-oeko.jpg?i=zL7LWMog/5041370&w=623&h=623&mode=pad,Discount;Nøglehulsmærket;Øko;Gryn;Morgenmad
Havregryn (finvalsede) øko.,1050,29,Funkisfood,https://live.nemligstatic.com/scommerce/images/havregryn-finvalsede-oeko.jpg?i=zL7LWMog/5041369&w=623&h=623&mode=pad,Discount;Nøglehulsmærket;Øko;Gryn;Morgenmad
Cornflakes,2495,63,Kelloggs,https://live.nemligstatic.com/scommerce/images/cornflakes.jpg?i=PfZkJOVz/901004&w=623&h=623&mode=pad,Discount;Cornflakes;Morgenmad
Havrefras,2495,56,Quaker,https://live.nemligstatic.com/scommerce/images/havrefras.jpg?i=yeO19Tx-/901014&w=623&h=623&mode=pad,Discount;Fuldkornsmærket;Nøglehulsmærket;Morgenmad
Grøn pesto,1995,33,SpiZe,https://live.nemligstatic.com/scommerce/images/groen-pesto.jpg?i=Qj-x-2an/5020910&w=623&h=623&mode=pad,Discount;Basilikum;Pesto
Fajita krydderimix (medium),1395,32,Santa Maria,https://live.nemligstatic.com/scommerce/images/fajita-krydderimix-medium.jpg?i=Qj-x-2an/5021636&w=623&h=623&mode=pad,Tex Mex;Kylling;Kød;Krydderi
Timian øko.,1895,60,Urtekram,https://live.nemligstatic.com/scommerce/images/timian-oeko.jpg?i=Qj-x-2an/5015447&w=623&h=623&mode=pad,Discount;Øko;Krydderi
Sorte oliven u. sten,438,51,First Price,https://live.nemligstatic.com/scommerce/images/sorte-oliven-u-sten.jpg?i=Qj-x-2an/102213&w=623&h=623&mode=pad,Discount;Oliven
Pålægschokolade (mørk),3095,68,Galle & Jessen,https://live.nemligstatic.com/scommerce/images/paalaegschokolade-moerk.jpg?i=Qj-x-2an/303031&w=623&h=623&mode=pad,Discount;Pålægschokolade
Pålægschokolade (lys),3095,41,Galle & Jessen,https://live.nemligstatic.com/scommerce/images/paalaegschokolade-lys.jpg?i=Qj-x-2an/303032&w=623&h=623&mode=pad,Discount;Pålægschokolade
Pasta carbonara,1800,61,Knorr,https://live.nemligstatic.com/scommerce/images/pasta-carbonara.jpg?i=Qj-x-2an/5018809&w=623&h=623&mode=pad,Pasta
Lasagnette mix,1995,56,Knorr,https://live.nemligstatic.com/scommerce/images/lasagnette-mix.jpg?i=xZPPWAeT/5501081&w=623&h=623&mode=pad,Pasta;Discount
Baileys irish cream (17%),13495,44,Baileys,https://live.nemligstatic.com/scommerce/images/baileys-irish-cream-17.jpg?i=Qj-x-2an/1015001&w=623&h=623&mode=pad,Drinks;Discount;Chokolade;Likør
"Tanqueray gin (43,1%)",15995,37,Tanqueray,https://live.nemligstatic.com/scommerce/images/tanqueray-gin-43-1.jpg?i=Qj-x-2an/5011328&w=623&h=623&mode=pad,Drinks;Discount;Gin
"Finsbury gin (37,5%)",7495,53,Finsbury,https://live.nemligstatic.com/scommerce/images/finsbury-gin-37-5.jpg?i=Qj-x-2an/1012014&w=623&h=623&mode=pad,Drinks;Discount;Gin
"Gordons dry (37,5%)",11495,40,Gordons,https://live.nemligstatic.com/scommerce/images/gordons-dry-37-5.jpg?i=-8s257_I/1012001&w=623&h=623&mode=pad,Drinks;Discount;Gin
"Smirnoff red (37,5%)",12800,23,Smirnoff,https://live.nemligstatic.com/scommerce/images/smirnoff-red-37-5.jpg?i=GliT8UsE/1012009&w=623&h=623&mode=pad,Drinks;Discount;Vodka
Breezer Lemon (4%),1595,46,Breezer,https://live.nemligstatic.com/scommerce/images/breezer-lemon-4.jpg?i=Qj-x-2an/5020194&w=623&h=623&mode=pad,Lemon;Ready to drink
Breezer Pineapple (4%),1595,31,Breezer,https://live.nemligstatic.com/scommerce/images/breezer-pineapple-4.jpg?i=Qj-x-2an/5501072&w=623&h=623&mode=pad,Pineapple;Ready to drink
Breezer Strawberry (4%),1595,58,Breezer,https://live.nemligstatic.com/scommerce/images/breezer-strawberry-4.jpg?i=DnDMibXu/5029801&w=623&h=623&mode=pad,Strawberry;Ready to drink
Breezer Orange (4%),1595,47,Breezer,https://live.nemligstatic.com/scommerce/images/breezer-orange-4.jpg?i=Qj-x-2an/5501073&w=623&h=623&mode=pad,Orange;Ready to drink
Breezer Lime (4%),1595,24,Breezer,https://live.nemligstatic.com/scommerce/images/breezer-lime-4.jpg?i=Qj-x-2an/5020193&w=623&h=623&mode=pad,Lime;Ready to drink
Breezer Watermelon (4%),1595,58,Breezer,https://live.nemligstatic.com/scommerce/images/breezer-watermelon-4.jpg?i=Qj-x-2an/5020192&w=623&h=623&mode=pad,Vandmelon;Ready to drink
Danskvand,475,69,nemlig basic,https://live.nemligstatic.com/scommerce/images/danskvand.jpg?i=Qj-x-2an/5018163&w=623&h=623&mode=pad,Discount;Varefakta;Danskvand
Danskvand m. citrus,445,32,nemlig basic,https://live.nemligstatic.com/scommerce/images/danskvand-m-citrus.jpg?i=Qj-x-2an/5018162&w=623&h=623&mode=pad,Discount;Citrus;Danskvand
Danskvand m. citrus,1800,63,nemlig basic,https://live.nemligstatic.com/scommerce/images/danskvand-m-citrus.jpg?i=sw0Ei-H4/5017253&w=623&h=623&mode=pad,Discount;Citrus;Danskvand
Monster energy,1600,23,Monster,https://live.nemligstatic.com/scommerce/images/monster-energy.jpg?i=Qj-x-2an/5025785&w=623&h=623&mode=pad,Energidrik
Grimbergen Blonde,1995,66,Grimbergen,https://live.nemligstatic.com/scommerce/images/grimbergen-blonde.jpg?i=euFPwLCY/5016520&w=623&h=623&mode=pad,Belgien;Hvedeøl;Specialøl
